lat,lon,date,time,data
51.30497569,-0.123514306,09/06/2018,Afternoon Rush,119.6872275
51.30497569,-0.123514306,09/06/2018,Early Morning,79.87955544
51.30497569,-0.123514306,09/06/2018,Evening,130.7660211
51.30497569,-0.123514306,09/06/2018,Midday,47.27543266
51.30497569,-0.123514306,09/06/2018,Morning Rush,161.848649
51.30497569,-0.123514306,10/06/2018,Afternoon Rush,94.70960736
51.30497569,-0.123514306,10/06/2018,Early Morning,13.56807919
51.30497569,-0.123514306,10/06/2018,Evening,94.35162095
51.30497569,-0.123514306,10/06/2018,Midday,109.3757889
51.30497569,-0.123514306,10/06/2018,Morning Rush,48.40415558
51.30497569,-0.123514306,11/06/2018,Afternoon Rush,62.45000644
51.30497569,-0.123514306,11/06/2018,Early Morning,29.70647723
51.30497569,-0.123514306,11/06/2018,Evening,110.4489949
51.30497569,-0.123514306,11/06/2018,Midday,64.87161791
51.30497569,-0.123514306,11/06/2018,Morning Rush,50.22534227
51.31630158,0.023667973,09/06/2018,Afternoon Rush,79.17771834
51.31630158,0.023667973,09/06/2018,Early Morning,92.78045503
51.31630158,0.023667973,09/06/2018,Evening,109.6391042
51.31630158,0.023667973,09/06/2018,Midday,79.18988758
51.31630158,0.023667973,09/06/2018,Morning Rush,121.9147682
51.31630158,0.023667973,10/06/2018,Afternoon Rush,129.0963373
51.31630158,0.023667973,10/06/2018,Early Morning,25.52125697
51.31630158,0.023667973,10/06/2018,Evening,20.51183196
51.31630158,0.023667973,10/06/2018,Midday,81.56659999
51.31630158,0.023667973,10/06/2018,Morning Rush,76.01911465
51.31630158,0.023667973,11/06/2018,Afternoon Rush,119.1732976
51.31630158,0.023667973,11/06/2018,Early Morning,94.42469423
51.31630158,0.023667973,11/06/2018,Evening,77.36499056
51.31630158,0.023667973,11/06/2018,Midday,13.4056849
51.31630158,0.023667973,11/06/2018,Morning Rush,82.02023755
51.3184556,-0.104157081,09/06/2018,Afternoon Rush,125.5282203
51.3184556,-0.104157081,09/06/2018,Early Morning,94.60739922
51.3184556,-0.104157081,09/06/2018,Evening,78.33744656
51.3184556,-0.104157081,09/06/2018,Midday,23.09811136
51.3184556,-0.104157081,09/06/2018,Morning Rush,136.4551184
51.3184556,-0.104157081,10/06/2018,Afternoon Rush,159.9833831
51.3184556,-0.104157081,10/06/2018,Early Morning,23.66127008
51.3184556,-0.104157081,10/06/2018,Evening,56.65946517
51.3184556,-0.104157081,10/06/2018,Midday,93.94258689
51.3184556,-0.104157081,10/06/2018,Morning Rush,45.62003704
51.3184556,-0.104157081,11/06/2018,Afternoon Rush,40.88191909
51.3184556,-0.104157081,11/06/2018,Early Morning,83.75953258
51.3184556,-0.104157081,11/06/2018,Evening,47.48977551
51.3184556,-0.104157081,11/06/2018,Midday,31.58460632
51.3184556,-0.104157081,11/06/2018,Morning Rush,103.1138107
51.32200893,-0.142434097,09/06/2018,Afternoon Rush,117.1353156
51.32200893,-0.142434097,09/06/2018,Early Morning,130.7348841
51.32200893,-0.142434097,09/06/2018,Evening,80.72388762
51.32200893,-0.142434097,09/06/2018,Midday,22.02423278
51.32200893,-0.142434097,09/06/2018,Morning Rush,97.62401679
51.32200893,-0.142434097,10/06/2018,Afternoon Rush,83.67305402
51.32200893,-0.142434097,10/06/2018,Early Morning,87.94647912
51.32200893,-0.142434097,10/06/2018,Evening,87.45091357
51.32200893,-0.142434097,10/06/2018,Midday,90.46494867
51.32200893,-0.142434097,10/06/2018,Morning Rush,63.89318358
51.32200893,-0.142434097,11/06/2018,Afternoon Rush,86.85221674
51.32200893,-0.142434097,11/06/2018,Early Morning,13.73246236
51.32200893,-0.142434097,11/06/2018,Evening,38.77516497
51.32200893,-0.142434097,11/06/2018,Midday,50.24819471
51.32200893,-0.142434097,11/06/2018,Morning Rush,85.08305644
51.32715113,0.057217569,09/06/2018,Afternoon Rush,143.9822229
51.32715113,0.057217569,09/06/2018,Early Morning,54.19470375
51.32715113,0.057217569,09/06/2018,Evening,94.86696033
51.32715113,0.057217569,09/06/2018,Midday,58.93758861
51.32715113,0.057217569,09/06/2018,Morning Rush,140.0479398
51.32715113,0.057217569,10/06/2018,Afternoon Rush,115.1551172
51.32715113,0.057217569,10/06/2018,Early Morning,52.13705491
51.32715113,0.057217569,10/06/2018,Evening,22.22987321
51.32715113,0.057217569,10/06/2018,Midday,94.67400757
51.32715113,0.057217569,10/06/2018,Morning Rush,27.52742555
51.32715113,0.057217569,11/06/2018,Afternoon Rush,69.63564505
51.32715113,0.057217569,11/06/2018,Early Morning,25.20178911
51.32715113,0.057217569,11/06/2018,Evening,112.4107338
51.32715113,0.057217569,11/06/2018,Midday,24.22929016
51.32715113,0.057217569,11/06/2018,Morning Rush,43.43089414
51.33121767,-0.080672264,09/06/2018,Afternoon Rush,105.2538399
51.33121767,-0.080672264,09/06/2018,Early Morning,138.7684573
51.33121767,-0.080672264,09/06/2018,Evening,119.062547
51.33121767,-0.080672264,09/06/2018,Midday,22.25081289
51.33121767,-0.080672264,09/06/2018,Morning Rush,104.2758125
51.33121767,-0.080672264,10/06/2018,Afternoon Rush,102.3084448
51.33121767,-0.080672264,10/06/2018,Early Morning,61.86144464
51.33121767,-0.080672264,10/06/2018,Evening,9.983402417
51.33121767,-0.080672264,10/06/2018,Midday,144.1489421
51.33121767,-0.080672264,10/06/2018,Morning Rush,85.57336931
51.33121767,-0.080672264,11/06/2018,Afternoon Rush,33.98946154
51.33121767,-0.080672264,11/06/2018,Early Morning,8.226166542
51.33121767,-0.080672264,11/06/2018,Evening,104.3150457
51.33121767,-0.080672264,11/06/2018,Midday,61.56531937
51.33121767,-0.080672264,11/06/2018,Morning Rush,91.98686239
51.34038897,-0.16320222,09/06/2018,Afternoon Rush,169.3459081
51.34038897,-0.16320222,09/06/2018,Early Morning,64.81345622
51.34038897,-0.16320222,09/06/2018,Evening,155.5619537
51.34038897,-0.16320222,09/06/2018,Midday,79.78133566
51.34038897,-0.16320222,09/06/2018,Morning Rush,169.283737
51.34038897,-0.16320222,10/06/2018,Afternoon Rush,93.24990135
51.34038897,-0.16320222,10/06/2018,Early Morning,70.57303355
51.34038897,-0.16320222,10/06/2018,Evening,33.37847474
51.34038897,-0.16320222,10/06/2018,Midday,107.3217257
51.34038897,-0.16320222,10/06/2018,Morning Rush,56.2849909
51.34038897,-0.16320222,11/06/2018,Afternoon Rush,28.54626106
51.34038897,-0.16320222,11/06/2018,Early Morning,38.46322589
51.34038897,-0.16320222,11/06/2018,Evening,51.96103283
51.34038897,-0.16320222,11/06/2018,Midday,7.055555934
51.34038897,-0.16320222,11/06/2018,Morning Rush,83.05597064
51.34043269,-0.116661796,09/06/2018,Afternoon Rush,86.06991825
51.34043269,-0.116661796,09/06/2018,Early Morning,87.40313777
51.34043269,-0.116661796,09/06/2018,Evening,124.9769625
51.34043269,-0.116661796,09/06/2018,Midday,68.92531011
51.34043269,-0.116661796,09/06/2018,Morning Rush,169.1795383
51.34043269,-0.116661796,10/06/2018,Afternoon Rush,142.2985261
51.34043269,-0.116661796,10/06/2018,Early Morning,89.22037535
51.34043269,-0.116661796,10/06/2018,Evening,75.5274753
51.34043269,-0.116661796,10/06/2018,Midday,85.00519527
51.34043269,-0.116661796,10/06/2018,Morning Rush,82.55861156
51.34043269,-0.116661796,11/06/2018,Afternoon Rush,90.80577113
51.34043269,-0.116661796,11/06/2018,Early Morning,49.38640598
51.34043269,-0.116661796,11/06/2018,Evening,110.1874362
51.34043269,-0.116661796,11/06/2018,Midday,23.31586394
51.34043269,-0.116661796,11/06/2018,Morning Rush,85.57746141
51.34123722,-0.009945966,09/06/2018,Afternoon Rush,69.01654244
51.34123722,-0.009945966,09/06/2018,Early Morning,83.87126403
51.34123722,-0.009945966,09/06/2018,Evening,157.5441598
51.34123722,-0.009945966,09/06/2018,Midday,109.2437871
51.34123722,-0.009945966,09/06/2018,Morning Rush,95.74882181
51.34123722,-0.009945966,10/06/2018,Afternoon Rush,135.7176098
51.34123722,-0.009945966,10/06/2018,Early Morning,101.4214032
51.34123722,-0.009945966,10/06/2018,Evening,15.9958234
51.34123722,-0.009945966,10/06/2018,Midday,74.09684694
51.34123722,-0.009945966,10/06/2018,Morning Rush,82.66418795
