date,lat,lon,time
09/06/2018,51.4697374,-0.3583245,Midday
10/06/2018,51.427813,-0.101972,Early Morning
11/06/2018,51.4904471,-0.2772377,Evening
09/06/2018,51.5276501,-0.3389393,Afternoon Rush
10/06/2018,51.4848115,-0.1811672,Afternoon Rush
11/06/2018,51.4484455,-0.1992768,Afternoon Rush
09/06/2018,51.5527868,-0.0098128,Midday
10/06/2018,51.5174326,0.0149825,Midday
11/06/2018,51.498142,-0.0644671,Evening
09/06/2018,51.4227479,-0.4462423,Evening
10/06/2018,51.5409107,-0.1967427,Midday
11/06/2018,51.5904557,-0.1034463,Afternoon Rush
09/06/2018,51.5682512,0.2026648,Morning Rush
10/06/2018,51.4579512,-0.0131307,Afternoon Rush
11/06/2018,51.4205949,-0.2216915,Midday
09/06/2018,51.4697374,-0.3583245,Midday
10/06/2018,51.5189796,-0.16859,Morning Rush
11/06/2018,51.53584,-0.2204934,Midday
09/06/2018,51.554994,-0.074717,Midday
10/06/2018,51.50722,-0.1275,Midday
11/06/2018,51.5167512,-0.062343,Afternoon Rush
09/06/2018,51.4851766,-0.1743563,Afternoon Rush
10/06/2018,51.530727,-0.4183347,Morning Rush
11/06/2018,51.5908523,0.0826098,Afternoon Rush
09/06/2018,51.4632453,-0.2158717,Afternoon Rush
10/06/2018,51.5112079,-0.1193447,Midday
11/06/2018,51.5492629,0.1021538,Morning Rush
09/06/2018,51.5495958,-0.2221615,Afternoon Rush
10/06/2018,51.4069079,0.0264306,Midday
11/06/2018,51.4740395,-0.1477017,Evening
09/06/2018,51.4196959,-0.0806793,Morning Rush
10/06/2018,51.4347375,-0.0352035,Morning Rush
11/06/2018,51.5149226,-0.1448236,Midday
09/06/2018,51.496991,-0.1025916,Evening
10/06/2018,51.496991,-0.1025916,Evening
11/06/2018,51.5492629,0.1021538,Morning Rush
09/06/2018,51.5395446,0.1376789,Morning Rush
10/06/2018,51.5227912,-0.1712236,Midday
11/06/2018,51.5492629,0.1021538,Midday
09/06/2018,51.4652642,-0.1323223,Morning Rush
10/06/2018,51.4754609,-0.133151,Morning Rush
11/06/2018,51.3995468,-0.304858,Midday
09/06/2018,51.5758382,-0.0151075,Evening
10/06/2018,51.4462841,-0.3019054,Morning Rush
11/06/2018,51.5628636,0.0027378,Midday
09/06/2018,51.4486718,-0.1726312,Evening
10/06/2018,51.5282162,0.1059758,Midday
11/06/2018,51.5757636,-0.2041651,Early Morning
09/06/2018,51.496991,-0.1025916,Midday
10/06/2018,51.5204458,-0.0175687,Midday
11/06/2018,51.5031146,-0.2431833,Evening
09/06/2018,51.4998708,-0.1858888,Midday
10/06/2018,51.5141921,-0.4300307,Evening
11/06/2018,51.4808599,-0.4231366,Midday
09/06/2018,51.4761198,-0.3532215,Afternoon Rush
10/06/2018,51.4493611,-0.074535,Midday
11/06/2018,51.4603233,-0.0603926,Morning Rush
09/06/2018,51.3810677,-0.1717941,Midday
10/06/2018,51.519616,-0.1218432,Morning Rush
11/06/2018,51.464007,-0.3014498,Evening
09/06/2018,51.461311,-0.303742,Evening
10/06/2018,51.5757636,-0.2041651,Evening
11/06/2018,51.5611836,-0.1971136,Midday
09/06/2018,51.4997548,-0.0680069,Evening
10/06/2018,51.6515169,-0.0794567,Afternoon Rush
11/06/2018,51.583896,-0.1467726,Evening
09/06/2018,51.4808599,-0.4231366,Evening
10/06/2018,51.5340068,-0.2192881,Evening
11/06/2018,51.369703,-0.1027673,Evening
09/06/2018,51.5101602,-0.287387,Midday
10/06/2018,51.5101602,-0.287387,Midday
11/06/2018,51.481395,-0.2180887,Afternoon Rush
09/06/2018,51.4840259,-0.2070594,Morning Rush
10/06/2018,51.5632697,-0.3677128,Evening
11/06/2018,51.4973154,-0.0990542,Morning Rush
09/06/2018,51.4409636,-0.1869488,Evening
10/06/2018,51.5123373,-0.2249677,Midday
11/06/2018,51.4086385,-0.0595237,Midday
09/06/2018,51.5167977,-0.0810585,Afternoon Rush
10/06/2018,51.5294925,-0.179034,Midday
11/06/2018,51.5154539,-0.3037829,Afternoon Rush
09/06/2018,51.4851766,-0.1743563,Midday
10/06/2018,51.5567912,0.1889409,Midday
11/06/2018,51.5101602,-0.287387,Midday
09/06/2018,51.4533088,-0.1205905,Afternoon Rush
10/06/2018,51.5884783,-0.118536,Evening
11/06/2018,51.488956,-0.1504005,Midday
09/06/2018,51.6239766,-0.2871003,Midday
10/06/2018,51.4704175,-0.2440004,Midday
11/06/2018,51.5866593,-0.010024,Morning Rush
09/06/2018,51.6512595,-0.2159519,Midday
10/06/2018,51.3921705,-0.0341933,Evening
11/06/2018,51.4653416,-0.0311541,Morning Rush
09/06/2018,51.3625128,-0.118073,Midday
10/06/2018,51.5276501,-0.3389393,Midday
11/06/2018,51.5318236,-0.0903154,Midday
